"","Year","Name","Movie","Award","Win"
"1328","1964","Edith Evans","The Chalk Garden","Supporting Actress","Lost"
"1329","1964","Grayson Hall","The Night of the Iguana","Supporting Actress","Lost"
"1330","1964","Agnes Moorehead","Hush… Hush, Sweet Charlotte","Supporting Actress","Lost"
"1331","1965","Shelley Winters","A Patch of Blue","Supporting Actress","Won"
"1332","1965","Ruth Gordon","Inside Daisy Clover","Supporting Actress","Lost"
"1333","1965","Joyce Redman","Othello","Supporting Actress","Lost"
"1334","1965","Maggie Smith","Othello","Supporting Actress","Lost"
"1335","1965","Peggy Wood","The Sound of Music","Supporting Actress","Lost"
"1336","1966","Sandy Dennis","Who's Afraid of Virginia Woolf?","Supporting Actress","Won"
"1337","1966","Wendy Hiller","A Man for All Seasons","Supporting Actress","Lost"
"1338","1966","Jocelyne LaGarde","Hawaii","Supporting Actress","Lost"
"1339","1966","Vivien Merchant","Alfie","Supporting Actress","Lost"
"1340","1966","Geraldine Page","You're a Big Boy Now","Supporting Actress","Lost"
"1341","1967","Estelle Parsons","Bonnie and Clyde","Supporting Actress","Won"
"1342","1967","Carol Channing","Thoroughly Modern Millie","Supporting Actress","Lost"
"1343","1967","Mildred Natwick","Barefoot in the Park","Supporting Actress","Lost"
"1344","1967","Beah Richards","Guess Who's Coming to Dinner","Supporting Actress","Lost"
"1345","1967","Katharine Ross","The Graduate","Supporting Actress","Lost"
"1346","1968","Ruth Gordon","Rosemary's Baby","Supporting Actress","Won"
"1347","1968","Lynn Carlin","Faces","Supporting Actress","Lost"
"1348","1968","Sondra Locke","The Heart Is a Lonely Hunter","Supporting Actress","Lost"
"1349","1968","Kay Medford","Funny Girl","Supporting Actress","Lost"
"1350","1968","Estelle Parsons","Rachel, Rachel","Supporting Actress","Lost"
"1351","1969","Goldie Hawn","Cactus Flower","Supporting Actress","Won"
"1352","1969","Catherine Burns","Last Summer","Supporting Actress","Lost"
"1353","1969","Dyan Cannon","Bob & Carol & Ted & Alice","Supporting Actress","Lost"
"1354","1969","Sylvia Miles","Midnight Cowboy","Supporting Actress","Lost"
"1355","1969","Susannah York","They Shoot Horses, Don't They?","Supporting Actress","Lost"
"1356","1970","Helen Hayes","Airport","Supporting Actress","Won"
"1357","1970","Karen Black","Five Easy Pieces","Supporting Actress","Lost"
"1358","1970","Lee Grant","The Landlord","Supporting Actress","Lost"
"1359","1970","Sally Kellerman","MASH","Supporting Actress","Lost"
"1360","1970","Maureen Stapleton","Airport","Supporting Actress","Lost"
"1361","1971","Cloris Leachman","The Last Picture Show","Supporting Actress","Won"
"1362","1971","Ann-Margret","Carnal Knowledge","Supporting Actress","Lost"
"1363","1971","Ellen Burstyn","The Last Picture Show","Supporting Actress","Lost"
"1364","1971","Barbara Harris","Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?","Supporting Actress","Lost"
"1365","1971","Margaret Leighton","The Go-Between","Supporting Actress","Lost"
"1366","1972","Eileen Heckart","Butterflies Are Free","Supporting Actress","Won"
"1367","1972","Jeannie Berlin","The Heartbreak Kid","Supporting Actress","Lost"
"1368","1972","Geraldine Page","Pete 'n' Tillie","Supporting Actress","Lost"
"1369","1972","Susan Tyrrell","Fat City","Supporting Actress","Lost"
"1370","1972","Shelley Winters","The Poseidon Adventure","Supporting Actress","Lost"
"1371","1973","Tatum O'Neal","Paper Moon","Supporting Actress","Won"
"1372","1973","Linda Blair","The Exorcist","Supporting Actress","Lost"
"1373","1973","Candy Clark","American Graffiti","Supporting Actress","Lost"
"1374","1973","Madeline Kahn","Paper Moon","Supporting Actress","Lost"
"1375","1973","Sylvia Sidney","Summer Wishes, Winter Dreams","Supporting Actress","Lost"
"1376","1974","Ingrid Bergman","Murder on the Orient Express","Supporting Actress","Won"
"1377","1974","Valentina Cortese","Day for Night","Supporting Actress","Lost"
"1378","1974","Madeline Kahn","Blazing Saddles","Supporting Actress","Lost"
"1379","1974","Diane Ladd","Alice Doesn't Live Here Anymore","Supporting Actress","Lost"
"1380","1974","Talia Shire","The Godfather Part II","Supporting Actress","Lost"
"1381","1975","Lee Grant","Shampoo","Supporting Actress","Won"
"1382","1975","Ronee Blakley","Nashville","Supporting Actress","Lost"
"1383","1975","Sylvia Miles","Farewell, My Lovely","Supporting Actress","Lost"
"1384","1975","Lily Tomlin","Nashville","Supporting Actress","Lost"
"1385","1975","Brenda Vaccaro","Jacqueline Susann's Once Is Not Enough","Supporting Actress","Lost"
"1386","1976","Beatrice Straight","Network","Supporting Actress","Won"
"1387","1976","Jane Alexander","All the President's Men","Supporting Actress","Lost"
"1388","1976","Jodie Foster","Taxi Driver","Supporting Actress","Lost"
"1389","1976","Lee Grant","Voyage of the Damned","Supporting Actress","Lost"
"1390","1976","Piper Laurie","Carrie","Supporting Actress","Lost"
"1391","1977","Vanessa Redgrave","Julia","Supporting Actress","Won"
"1392","1977","Leslie Browne","The Turning Point","Supporting Actress","Lost"
"1393","1977","Quinn Cummings","The Goodbye Girl","Supporting Actress","Lost"
"1394","1977","Melinda Dillon","Close Encounters of the Third Kind","Supporting Actress","Lost"
"1395","1977","Tuesday Weld","Looking for Mr. Goodbar","Supporting Actress","Lost"
"1396","1978","Maggie Smith","California Suite","Supporting Actress","Won"
"1397","1978","Dyan Cannon","Heaven Can Wait","Supporting Actress","Lost"
"1398","1978","Penelope Milford","Coming Home","Supporting Actress","Lost"
"1399","1978","Maureen Stapleton","Interiors","Supporting Actress","Lost"
"1400","1978","Meryl Streep","The Deer Hunter","Supporting Actress","Lost"
"1401","1979","Meryl Streep","Kramer vs. Kramer","Supporting Actress","Won"
"1402","1979","Jane Alexander","Kramer vs. Kramer","Supporting Actress","Lost"
"1403","1979","Barbara Barrie","Breaking Away","Supporting Actress","Lost"
"1404","1979","Candice Bergen","Starting Over","Supporting Actress","Lost"
"1405","1979","Mariel Hemingway","Manhattan","Supporting Actress","Lost"
"1406","1980","Mary Steenburgen","Melvin and Howard","Supporting Actress","Won"
"1407","1980","Eileen Brennan","Private Benjamin","Supporting Actress","Lost"
"1408","1980","Eva Le Gallienne","Resurrection","Supporting Actress","Lost"
"1409","1980","Cathy Moriarty","Raging Bull","Supporting Actress","Lost"
"1410","1980","Diana Scarwid","Inside Moves","Supporting Actress","Lost"
"1411","1981","Maureen Stapleton","Reds","Supporting Actress","Won"
"1412","1981","Melinda Dillon","Absence of Malice","Supporting Actress","Lost"
"1413","1981","Jane Fonda","On Golden Pond","Supporting Actress","Lost"
"1414","1981","Joan Hackett","Only When I Laugh","Supporting Actress","Lost"
"1415","1981","Elizabeth McGovern","Ragtime","Supporting Actress","Lost"
"1416","1982","Jessica Lange","Tootsie","Supporting Actress","Won"
"1417","1982","Glenn Close","The World According to Garp","Supporting Actress","Lost"
"1418","1982","Teri Garr","Tootsie","Supporting Actress","Lost"
"1419","1982","Kim Stanley","Frances","Supporting Actress","Lost"
"1420","1982","Lesley Ann Warren","Victor Victoria","Supporting Actress","Lost"
"1421","1983","Linda Hunt","The Year of Living Dangerously","Supporting Actress","Won"
"1422","1983","Cher","Silkwood","Supporting Actress","Lost"
"1423","1983","Glenn Close","The Big Chill","Supporting Actress","Lost"
"1424","1983","Amy Irving","Yentl","Supporting Actress","Lost"
"1425","1983","Alfre Woodard","Cross Creek","Supporting Actress","Lost"
"1426","1984","Peggy Ashcroft","A Passage to India","Supporting Actress","Won"
"1427","1984","Glenn Close","The Natural","Supporting Actress","Lost"
"1428","1984","Lindsay Crouse","Places in the Heart","Supporting Actress","Lost"
"1429","1984","Christine Lahti","Swing Shift","Supporting Actress","Lost"
"1430","1984","Geraldine Page","The Pope of Greenwich Village","Supporting Actress","Lost"
"1431","1985","Anjelica Huston","Prizzi's Honor","Supporting Actress","Won"
"1432","1985","Margaret Avery","The Color Purple","Supporting Actress","Lost"
"1433","1985","Amy Madigan","Twice in a Lifetime","Supporting Actress","Lost"
"1434","1985","Meg Tilly","Agnes of God","Supporting Actress","Lost"
"1435","1985","Oprah Winfrey","The Color Purple","Supporting Actress","Lost"
"1436","1986","Dianne Wiest","Hannah and Her Sisters","Supporting Actress","Won"
"1437","1986","Tess Harper","Crimes of the Heart","Supporting Actress","Lost"
"1438","1986","Piper Laurie","Children of a Lesser God","Supporting Actress","Lost"
"1439","1986","Mary Elizabeth Mastrantonio","The Color of Money","Supporting Actress","Lost"
"1440","1986","Maggie Smith","A Room with a View","Supporting Actress","Lost"
"1441","1987","Olympia Dukakis","Moonstruck","Supporting Actress","Won"
"1442","1987","Norma Aleandro","Gaby: A True Story","Supporting Actress","Lost"
"1443","1987","Anne Archer","Fatal Attraction","Supporting Actress","Lost"
"1444","1987","Anne Ramsey","Throw Momma from the Train","Supporting Actress","Lost"
"1445","1987","Ann Sothern","The Whales of August","Supporting Actress","Lost"
"1446","1988","Geena Davis","The Accidental Tourist","Supporting Actress","Won"
"1447","1988","Joan Cusack","Working Girl","Supporting Actress","Lost"
"1448","1988","Frances McDormand","Mississippi Burning","Supporting Actress","Lost"
"1449","1988","Michelle Pfeiffer","Dangerous Liaisons","Supporting Actress","Lost"
"1450","1988","Sigourney Weaver","Working Girl","Supporting Actress","Lost"
"1451","1989","Brenda Fricker","My Left Foot","Supporting Actress","Won"
"1452","1989","Anjelica Huston","Enemies, A Love Story","Supporting Actress","Lost"
"1453","1989","Lena Olin","Enemies, A Love Story","Supporting Actress","Lost"
"1454","1989","Julia Roberts","Steel Magnolias","Supporting Actress","Lost"
"1455","1989","Dianne Wiest","Parenthood","Supporting Actress","Lost"
"1456","1990","Whoopi Goldberg","Ghost","Supporting Actress","Won"
"1457","1990","Annette Bening","The Grifters","Supporting Actress","Lost"
"1458","1990","Lorraine Bracco","Goodfellas","Supporting Actress","Lost"
"1459","1990","Diane Ladd","Wild at Heart","Supporting Actress","Lost"
"1460","1990","Mary McDonnell","Dances with Wolves","Supporting Actress","Lost"
"1461","1991","Mercedes Ruehl","The Fisher King","Supporting Actress","Won"
"1462","1991","Diane Ladd","Rambling Rose","Supporting Actress","Lost"
"1463","1991","Juliette Lewis","Cape Fear","Supporting Actress","Lost"
"1464","1991","Kate Nelligan","The Prince of Tides","Supporting Actress","Lost"
"1465","1991","Jessica Tandy","Fried Green Tomatoes","Supporting Actress","Lost"
"1466","1992","Marisa Tomei","My Cousin Vinny","Supporting Actress","Won"
"1467","1992","Judy Davis","Husbands and Wives","Supporting Actress","Lost"
"1468","1992","Joan Plowright","Enchanted April","Supporting Actress","Lost"
"1469","1992","Vanessa Redgrave","Howards End","Supporting Actress","Lost"
"1470","1992","Miranda Richardson","Damage","Supporting Actress","Lost"
"1471","1993","Anna Paquin","The Piano","Supporting Actress","Won"
"1472","1993","Holly Hunter","The Firm","Supporting Actress","Lost"
"1473","1993","Rosie Perez","Fearless","Supporting Actress","Lost"
"1474","1993","Winona Ryder","The Age of Innocence","Supporting Actress","Lost"
"1475","1993","Emma Thompson","In the Name of the Father","Supporting Actress","Lost"
"1476","1994","Dianne Wiest","Bullets over Broadway","Supporting Actress","Won"
"1477","1994","Rosemary Harris","Tom & Viv","Supporting Actress","Lost"
"1478","1994","Helen Mirren","The Madness of King George","Supporting Actress","Lost"
"1479","1994","Uma Thurman","Pulp Fiction","Supporting Actress","Lost"
"1480","1994","Jennifer Tilly","Bullets over Broadway","Supporting Actress","Lost"
"1481","1995","Mira Sorvino","Mighty Aphrodite","Supporting Actress","Won"
"1482","1995","Joan Allen","Nixon","Supporting Actress","Lost"
"1483","1995","Kathleen Quinlan","Apollo 13","Supporting Actress","Lost"
"1484","1995","Mare Winningham","Georgia","Supporting Actress","Lost"
"1485","1995","Kate Winslet","Sense and Sensibility","Supporting Actress","Lost"
"1486","1996","Juliette Binoche","The English Patient","Supporting Actress","Won"
"1487","1996","Joan Allen","The Crucible","Supporting Actress","Lost"
"1488","1996","Lauren Bacall","The Mirror Has Two Faces","Supporting Actress","Lost"
"1489","1996","Barbara Hershey","The Portrait of a Lady","Supporting Actress","Lost"
"1490","1996","Marianne Jean-Baptiste","Secrets & Lies","Supporting Actress","Lost"
"1491","1997","Kim Basinger","L.A. Confidential","Supporting Actress","Won"
"1492","1997","Joan Cusack","In & Out","Supporting Actress","Lost"
"1493","1997","Minnie Driver","Good Will Hunting","Supporting Actress","Lost"
"1494","1997","Julianne Moore","Boogie Nights","Supporting Actress","Lost"
"1495","1997","Gloria Stuart","Titanic","Supporting Actress","Lost"
"1496","1998","Judi Dench","Shakespeare in Love","Supporting Actress","Won"
"1497","1998","Kathy Bates","Primary Colors","Supporting Actress","Lost"
"1498","1998","Brenda Blethyn","Little Voice","Supporting Actress","Lost"
"1499","1998","Rachel Griffiths","Hilary and Jackie","Supporting Actress","Lost"
"1500","1998","Lynn Redgrave","Gods and Monsters","Supporting Actress","Lost"
"1501","1999","Angelina Jolie","Girl, Interrupted","Supporting Actress","Won"
"1502","1999","Toni Collette","The Sixth Sense","Supporting Actress","Lost"
"1503","1999","Catherine Keener","Being John Malkovich","Supporting Actress","Lost"
"1504","1999","Samantha Morton","Sweet and Lowdown","Supporting Actress","Lost"
"1505","1999","Chloë Sevigny","Boys Don't Cry","Supporting Actress","Lost"
"1506","2000","Marcia Gay Harden","Pollock","Supporting Actress","Won"
"1507","2000","Judi Dench","Chocolat","Supporting Actress","Lost"
"1508","2000","Kate Hudson","Almost Famous","Supporting Actress","Lost"
"1509","2000","Frances McDormand","Almost Famous","Supporting Actress","Lost"
"1510","2000","Julie Walters","Billy Elliot","Supporting Actress","Lost"
"1511","2001","Jennifer Connelly","A Beautiful Mind","Supporting Actress","Won"
"1512","2001","Helen Mirren","Gosford Park","Supporting Actress","Lost"
"1513","2001","Maggie Smith","Gosford Park","Supporting Actress","Lost"
"1514","2001","Marisa Tomei","In the Bedroom","Supporting Actress","Lost"
"1515","2001","Kate Winslet","Iris","Supporting Actress","Lost"
"1516","2002","Catherine Zeta-Jones","Chicago","Supporting Actress","Won"
"1517","2002","Kathy Bates","About Schmidt","Supporting Actress","Lost"
"1518","2002","Julianne Moore","The Hours","Supporting Actress","Lost"
"1519","2002","Queen Latifah","Chicago","Supporting Actress","Lost"
"1520","2002","Meryl Streep","Adaptation","Supporting Actress","Lost"
"1521","2003","Renée Zellweger","Cold Mountain","Supporting Actress","Won"
"1522","2003","Shohreh Aghdashloo","House of Sand and Fog","Supporting Actress","Lost"
"1523","2003","Patricia Clarkson","Pieces of April","Supporting Actress","Lost"
"1524","2003","Marcia Gay Harden","Mystic River","Supporting Actress","Lost"
"1525","2003","Holly Hunter","Thirteen","Supporting Actress","Lost"
"1526","2004","Cate Blanchett","The Aviator","Supporting Actress","Won"
"1527","2004","Laura Linney","Kinsey","Supporting Actress","Lost"
"1528","2004","Virginia Madsen","Sideways","Supporting Actress","Lost"
"1529","2004","Sophie Okonedo","Hotel Rwanda","Supporting Actress","Lost"
"1530","2004","Natalie Portman","Closer","Supporting Actress","Lost"
"1531","2005","Rachel Weisz","The Constant Gardener","Supporting Actress","Won"
"1532","2005","Amy Adams","Junebug","Supporting Actress","Lost"
"1533","2005","Catherine Keener","Capote","Supporting Actress","Lost"
"1534","2005","Frances McDormand","North Country","Supporting Actress","Lost"
"1535","2005","Michelle Williams","Brokeback Mountain","Supporting Actress","Lost"
"1536","2006","Jennifer Hudson","Dreamgirls","Supporting Actress","Won"
"1537","2006","Adriana Barraza","Babel","Supporting Actress","Lost"
"1538","2006","Cate Blanchett","Notes on a Scandal","Supporting Actress","Lost"
"1539","2006","Abigail Breslin","Little Miss Sunshine","Supporting Actress","Lost"
"1540","2006","Rinko Kikuchi","Babel","Supporting Actress","Lost"
"1541","2007","Tilda Swinton","Michael Clayton","Supporting Actress","Won"
"1542","2007","Cate Blanchett","I'm Not There","Supporting Actress","Lost"
"1543","2007","Ruby Dee","American Gangster","Supporting Actress","Lost"
"1544","2007","Saoirse Ronan","Atonement","Supporting Actress","Lost"
"1545","2007","Amy Ryan","Gone Baby Gone","Supporting Actress","Lost"
"1546","2008","Penélope Cruz","Vicky Cristina Barcelona","Supporting Actress","Won"
"1547","2008","Amy Adams","Doubt","Supporting Actress","Lost"
"1548","2008","Viola Davis","Doubt","Supporting Actress","Lost"
"1549","2008","Taraji P. Henson","The Curious Case of Benjamin Button","Supporting Actress","Lost"
"1550","2008","Marisa Tomei","The Wrestler","Supporting Actress","Lost"
"1551","2009","Mo'Nique","Precious","Supporting Actress","Won"
"1552","2009","Penélope Cruz","Nine","Supporting Actress","Lost"
"1553","2009","Vera Farmiga","Up in the Air","Supporting Actress","Lost"
"1554","2009","Maggie Gyllenhaal","Crazy Heart","Supporting Actress","Lost"
"1555","2009","Anna Kendrick","Up in the Air","Supporting Actress","Lost"
"1556","2010","Melissa Leo","The Fighter","Supporting Actress","Won"
"1557","2010","Amy Adams","The Fighter","Supporting Actress","Lost"
"1558","2010","Helena Bonham Carter","The King's Speech","Supporting Actress","Lost"
"1559","2010","Hailee Steinfeld","True Grit","Supporting Actress","Lost"
"1560","2010","Jacki Weaver","Animal Kingdom","Supporting Actress","Lost"
"1561","2011","Octavia Spencer","The Help","Supporting Actress","Won"
"1562","2011","Bérénice Bejo","The Artist","Supporting Actress","Lost"
"1563","2011","Jessica Chastain","The Help","Supporting Actress","Lost"
"1564","2011","Melissa McCarthy","Bridesmaids","Supporting Actress","Lost"
"1565","2011","Janet McTeer","Albert Nobbs","Supporting Actress","Lost"
"1566","2012","Anne Hathaway","Les Misérables","Supporting Actress","Won"
"1567","2012","Amy Adams","The Master","Supporting Actress","Lost"
"1568","2012","Sally Field","Lincoln","Supporting Actress","Lost"
"1569","2012","Helen Hunt","The Sessions","Supporting Actress","Lost"
"1570","2012","Jacki Weaver","Silver Linings Playbook","Supporting Actress","Lost"
"1571","2013","Lupita Nyong'o","12 Years a Slave","Supporting Actress","Won"
"1572","2013","Sally Hawkins","Blue Jasmine","Supporting Actress","Lost"
"1573","2013","Jennifer Lawrence","American Hustle","Supporting Actress","Lost"
"1574","2013","Julia Roberts","August: Osage County","Supporting Actress","Lost"
"1575","2013","June Squibb","Nebraska","Supporting Actress","Lost"
"1576","2014","Patricia Arquette","Boyhood","Supporting Actress","Won"
"1577","2014","Laura Dern","Wild","Supporting Actress","Lost"
"1578","2014","Keira Knightley","The Imitation Game","Supporting Actress","Lost"
"1579","2014","Emma Stone","Birdman","Supporting Actress","Lost"
"1580","2014","Meryl Streep","Into the Woods","Supporting Actress","Lost"
"1581","1940","Preston Sturges","The Great McGinty","Writer","Won"
"1582","1940","Ben Hecht","Angels Over Broadway","Writer","Lost"
"1583","1940","Norman Burnside (story/screenplay)Heinz Herald (screenplay)John Huston (screenplay)","Dr. Ehrlich's Magic Bullet","Writer","Lost"
"1584","1940","Charles BennettJoan Harrison","Foreign Correspondent","Writer","Lost"
"1585","1940","Charlie Chaplin","The Great Dictator","Writer","Lost"
"1586","1941","Herman J. MankiewiczOrson Welles","Citizen Kane","Writer","Won"
"1587","1941","Norman Krasna","The Devil and Miss Jones","Writer","Lost"
"1588","1941","Harry ChandleeAbem FinkelJohn HustonHoward Koch","Sergeant York","Writer","Lost"
"1589","1941","Karl TunbergDarrell Ware","Tall, Dark and Handsome","Writer","Lost"
"1590","1941","Paul Jarrico","Tom, Dick and Harry","Writer","Lost"
"1591","1942","Michael KaninRing Lardner Jr.","Woman of the Year","Writer","Won"
"1592","1942","Michael Powell (screenplay)Emeric Pressburger (story/screenplay)","One of Our Aircraft Is Missing","Writer","Lost"
"1593","1942","Frank ButlerDon Hartman","Road to Morocco","Writer","Lost"
"1594","1942","W. R. BurnettFrank Butler","Wake Island","Writer","Lost"
"1595","1942","George Oppenheimer","The War Against Mrs. Hadley","Writer","Lost"
"1596","1943","Norman Krasna","Princess O'Rourke","Writer","Won"
"1597","1943","Dudley Nichols","Air Force","Writer","Lost"
"1598","1943","Noël Coward","In Which We Serve","Writer","Lost"
"1599","1943","Lillian Hellman","The North Star","Writer","Lost"
"1600","1943","Allan Scott","So Proudly We Hail!","Writer","Lost"
"1601","1944","Lamar Trotti","Wilson","Writer","Won"
"1602","1944","Preston Sturges","Hail the Conquering Hero","Writer","Lost"
"1603","1944","Preston Sturges","The Miracle of Morgan's Creek","Writer","Lost"
"1604","1944","Richard ConnellGladys Lehman","Two Girls and a Sailor","Writer","Lost"
"1605","1944","Jerome Cady","Wing and a Prayer","Writer","Lost"
"1606","1945","Richard Schweizer","Marie-Louise","Writer","Won"
"1607","1945","Philip Yordan","Dillinger","Writer","Lost"
"1608","1945","Myles Connolly","Music for Millions","Writer","Lost"
"1609","1945","Milton Holmes","Salty O'Rourke","Writer","Lost"
"1610","1945","Harry Kurnitz","What Next, Corporal Hargrove?","Writer","Lost"
"1611","1946","Muriel BoxSydney Box","The Seventh Veil","Writer","Won"
"1612","1946","Raymond Chandler","The Blue Dahlia","Writer","Lost"
"1613","1946","Jacques Prévert","Children of Paradise","Writer","Lost"
"1614","1946","Ben Hecht","Notorious","Writer","Lost"
"1615","1946","Norman PanamaMelvin Frank","Road to Utopia","Writer","Lost"
"1616","1947","Sidney Sheldon","The Bachelor and the Bobby-Soxer","Writer","Won"
"1617","1947","Abraham Polonsky","Body and Soul","Writer","Lost"
"1618","1947","Ruth GordonGarson Kanin","A Double Life","Writer","Lost"
"1619","1947","Charlie Chaplin","Monsieur Verdoux","Writer","Lost"
"1620","1947","Sergio AmideiAdolfo FranciC. G. ViolaCesare Zavattini","Shoeshine","Writer","Lost"
"1621","1949","Robert Pirosh","Battleground","Writer","Won"
"1622","1949","Sidney Buchman","Jolson Sings Again","Writer","Lost"
"1623","1949","V. Hayes (story)Federico Fellini (story/screenplay)Sergio Amidei (story/screenplay)Marcello Pagliero (story)Roberto Rossellini (story/screenplay)","Paisà","Writer","Lost"
"1624","1949","T. E. B. Clarke","Passport to Pimlico","Writer","Lost"
"1625","1949","Helen LevittJanice LoebSidney Meyers","The Quiet One","Writer","Lost"
"1626","1950","Charles BrackettD.M. Marshman, Jr.Billy Wilder","Sunset Boulevard","Writer","Won"
"1627","1950","Ruth Gordon, Garson Kanin","Adam's Rib","Writer","Lost"
"1628","1950","Virginia Kellogg (story/screenplay)Bernard C. Schoenfeld (story)","Caged","Writer","Lost"
"1629","1950","Carl Foreman","The Men","Writer","Lost"
"1630","1950","Joseph L. MankiewiczLesser Samuels","No Way Out","Writer","Lost"
"1631","1951","Alan Jay Lerner","An American in Paris","Writer","Won"
"1632","1951","Billy WilderLesser SamuelsWalter Newman","The Big Carnival","Writer","Lost"
"1633","1951","Philip Dunne","David and Bathsheba","Writer","Lost"
"1634","1951","Robert Pirosh","Go for Broke!","Writer","Lost"
"1635","1951","Clarence GreeneRussell Rouse","The Well","Writer","Lost"
"1636","1952","T. E. B. Clarke","The Lavender Hill Mob","Writer","Won"
"1637","1952","Sydney Boehm","The Atomic City","Writer","Lost"
"1638","1952","Terence Rattigan","The Sound Barrier","Writer","Lost"
"1639","1952","Ruth GordonGarson Kanin","Pat and Mike","Writer","Lost"
"1640","1952","John Steinbeck","Viva Zapata!","Writer","Lost"
"1641","1953","Charles BrackettRichard BreenWalter Reisch","Titanic","Writer","Won"
"1642","1953","Betty ComdenAdolph Green","The Band Wagon","Writer","Lost"
"1643","1953","Richard Murphy","The Desert Rats","Writer","Lost"
"1644","1953","Sam RolfeHarold Jack Bloom","The Naked Spur","Writer","Lost"
"1645","1953","Millard Kaufman","Take the High Ground!","Writer","Lost"
"1646","1954","Budd Schulberg","On the Waterfront","Writer","Won"
"1647","1954","Joseph L. Mankiewicz","The Barefoot Contessa","Writer","Lost"
"1648","1954","William Rose","Genevieve","Writer","Lost"
"1649","1954","Valentine DaviesOscar Brodney","The Glenn Miller Story","Writer","Lost"
"1650","1954","Norman PanamaMelvin Frank","Knock on Wood","Writer","Lost"
"1651","1955","Sonya LevienWilliam Ludwig","Interrupted Melody","Writer","Won"
"1652","1955","Milton SperlingEmmet Lavery","The Court-Martial of Billy Mitchell","Writer","Lost"
"1653","1955","Betty ComdenAdolph Green","It's Always Fair Weather","Writer","Lost"
"1654","1955","Jacques TatiHenri Marquet","Mr. Hulot's Holiday","Writer","Lost"
"1655","1955","Melville ShavelsonJack Rose","The Seven Little Foys","Writer","Lost"
"1656","1956","Albert Lamorisse","The Red Balloon","Writer","Won"
"1657","1956","Robert Lewin","The Bold and the Brave","Writer","Lost"
"1658","1956","Andrew L. Stone","Julie","Writer","Lost"
"1659","1956","Federico FelliniTullio Pinelli","La Strada","Writer","Lost"
"1660","1956","William Rose","The Ladykillers","Writer","Lost"
"1661","1957","George Wells","Designing Woman","Writer","Won"
"1662","1957","Leonard Gershe","Funny Face","Writer","Lost"
"1663","1957","Ralph Wheelwright (story)R. Wright Campbell (screenplay)Ivan Goff (screenplay)Ben Roberts (screenplay)","Man of a Thousand Faces","Writer","Lost"
"1664","1957","Barney Slater (story)Joel Kane (story)Dudley Nichols (screenplay)","The Tin Star","Writer","Lost"
"1665","1957","Federico Fellini (story/screenplay)Ennio Flaiano (story/screenplay)Tullio Pinelli (story)","I Vitelloni","Writer","Lost"
"1666","1958","Nathan E. Douglas[7]Harold Jacob Smith","The Defiant Ones","Writer","Won"
"1667","1958","Paddy Chayefsky","The Goddess","Writer","Lost"
"1668","1958","Melville ShavelsonJack Rose","Houseboat","Writer","Lost"
"1669","1958","James Edward Grant (story/screenplay)William Bowers (screenplay)","The Sheepman","Writer","Lost"
"1670","1958","Fay KaninMichael Kanin","Teacher's Pet","Writer","Lost"
"1671","1959","Clarence Greene (story)Maurice Richlin (screenplay)Russell Rouse (story)Stanley Shapiro (screenplay)","Pillow Talk","Writer","Won"
"1672","1959","François Truffaut (story/screenplay)Marcel Moussy (screenplay)","The 400 Blows","Writer","Lost"
"1673","1959","Ernest Lehman","North by Northwest","Writer","Lost"
"1674","1959","Paul King (story)Joseph Stone (story)Stanley Shapiro (screenplay)Maurice Richlin (screenplay)","Operation Petticoat","Writer","Lost"
"1675","1959","Ingmar Bergman","Wild Strawberries","Writer","Lost"
"1676","1960","I. A. L. DiamondBilly Wilder","The Apartment","Writer","Won"
"1677","1960","Bryan Forbes (screenplay)Richard Gregson (story)Michael Craig (story)","The Angry Silence","Writer","Lost"
"1678","1960","Norman PanamaMelvin Frank","The Facts of Life","Writer","Lost"
"1679","1960","Marguerite Duras","Hiroshima Mon Amour","Writer","Lost"
"1680","1960","Jules Dassin","Never on Sunday","Writer","Lost"
"1681","1961","William Inge","Splendor in the Grass","Writer","Won"
"1682","1961","Valentin YoshovGrigori Chukhrai","Ballad of a Soldier","Writer","Lost"
"1683","1961","Federico Fellini (story/screenplay)Tullio Pinelli (story/screenplay)Ennio Flaiano (story/screenplay)Brunello Rondi (screenplay)","La Dolce Vita","Writer","Lost"
"1684","1961","Sergio Amidei (screenplay)Diego Fabbi (screenplay)Indro Montanelli (story/screenplay)","General della Rovere","Writer","Lost"
"1685","1961","Stanley ShapiroPaul Henning","Lover Come Back","Writer","Lost"
"1686","1962","Ennio de ConciniPietro GermiAlfredo Giannetti","Divorce, Italian Style","Writer","Won"
"1687","1962","Charles Kaufman (story/screenplay)Wolfgang Reinhardt (screenplay)","Freud","Writer","Lost"
"1688","1962","Alain Robbe-Grillet","Last Year at Marienbad","Writer","Lost"
"1689","1962","Stanley ShapiroNate Monaster","That Touch of Mink","Writer","Lost"
"1690","1962","Ingmar Bergman","Through a Glass Darkly","Writer","Lost"
"1691","1963","James Webb","How the West Was Won","Writer","Won"
"1692","1963","Federico Fellini (story/screenplay)Ennio Flaiano (story/screenplay)Tullio Pinelli (screenplay)Brunello Rondi (screenplay)","8½","Writer","Lost"
"1693","1963","Elia Kazan","America, America","Writer","Lost"
